	R01-023	R01-024	R01-006	R01-153	R01-031	R01-032	R01-033	R01-034	R01-035	R01-037	R01-005	R01-147	R01-051	R01-043	R01-028	R01-052	R01-056	R01-057	R01-059	R01-060	R01-061	R01-062	R01-063	R01-066	R01-067	R01-068	R01-072	R01-080	R01-081	R01-154	R01-083	R01-084	R01-048	R01-077	R01-078	R01-003	R01-007	R01-012	R01-013	R01-015	R01-016	R01-017	R01-018	R01-021	R01-022	R01-026	R01-004	R01-014	R01-027	R01-029	R01-038	R01-039	R01-040	R01-041	R01-042	R01-046	R01-156	R01-049	R01-160	R01-054	R01-055	R01-064	R01-065	R01-069	R01-071	R01-073	R01-076	R01-148	R01-149	R01-079	R01-150	R01-089	R01-157	R01-158	R01-151	R01-152	R01-091	R01-159	R01-093	R01-094	R01-096	R01-097	R01-098	R01-099	R01-100	R01-101	R01-102	R01-103	R01-104	R01-105	R01-106	R01-107	R01-108	R01-109	R01-110	R01-111	R01-112	R01-113	R01-114	R01-115	R01-116	R01-117	R01-118	R01-119	R01-120	R01-121	R01-122	R01-123	R01-124	R01-125	R01-126	R01-127	R01-128	R01-129	R01-130	R01-131	R01-132	R01-133	R01-134	R01-135	R01-136	R01-137	R01-138	R01-139	R01-140	R01-141	R01-142	R01-144	R01-145	R01-146
1/2-SBSRNA4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1BG	NA	2.52851	1.713994	3.143938	1.79508	2.41091	2.538406	NA	10.386501	1.82622	NA	NA	NA	1.55862	1.45528	1.27124	7.9311	5.895698	4.202455	3.84436	14.1772	2.25145	NA	6.0059	3.126893	2.79223	3.50365	4.898634	8.391619	1.07236	2.895475	8.406363	2.78924	NA	0.436152	NA	2.950954	7.810654	NA	3.53846	2.293914	NA	NA	NA	NA	7.177913	0.896509	1.61145	1.76455	NA	3.887091	NA	2.105878	NA	6.22923	3.50931	2.72289	2.64815	5.289551	NA	3.5849	2.5235	NA	NA	NA	0.764097	1.07928	2.515044	3.965548	0.818385	NA	NA	NA	NA	2.28318	0.988662	1.30317	2.733682	11.83091	2.1051	NA	NA	NA	4.757295	2.96185	5.709845	5.439615	3.457685	3.048063	1.56986	3.13114	7.739366	2.47165	13.61401	9.68216	2.05082	NA	NA	NA	NA	1.654362	0.621971	0.981599	0.691306	NA	2.29421	4.199843	3.871175	3.65762	4.680107	NA	NA	4.86621	5.09031	5.270903	5.51343	8.179776	NA	5.13383	8.58936	3.534986	7.560916	3.56095	2.22318	NA	2.09417	1.94455	NA	6.130287	NA
A1BG-AS1	NA	NA	NA	0.646213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.73464	0.776258	NA	1.63156	NA	NA	1.84112	0.69549	NA	NA	2.28022	1.78973	NA	NA	0.626974	1.07789	NA	NA	NA	NA	0.664394	NA	NA	NA	NA	NA	NA	NA	1.09537	NA	NA	NA	NA	1.09163	NA	0.936157	NA	0.487774	0.64342	NA	NA	0.977555	NA	NA	NA	NA	NA	NA	NA	0.508843	0.810294	1.31336	0.736092	NA	2.22046	NA	NA	1.30863	NA	NA	0.732913	NA	0.649132	NA	NA	0.452502	2.02329	0.958381	1.506866	2.931031	1.06014	1.29107	0.745987	1.04818	3.44487	2.120887	3.80481	1.16709	2.279516	1.30004	1.315646	0.645186	1.00129	2.5339	0.857831	1.4562	2.04265	NA	NA	2.053479	1.413252	2.54827	2.19004	NA	NA	2.485531	1.65574	3.27409	2.492928	2.47984	NA	2.675705	3.36809	2.408296	3.47429	1.382054	2.09133	NA	1.30469	1.0557	0.939564	1.44522	NA
A1CF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.211864	NA	NA	NA	0.42668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.578403	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.476715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2LD1	2.03438	0.436761	1.60103	3.366031	0.994382	2.130685	0.842759	1.835353	0.662647	0.646078	0.708038	1.63464	NA	1.07593	1.11891	NA	1.75153	1.48921	2.21853	NA	3.74286	NA	0.733463	4.46467	1.07266	1.17888	1.28777	2.104147	NA	0.533844	0.852339	NA	1.545521	NA	0.826328	NA	5.25043	0.589465	2.003074	0.656841	0.66065	0.677359	NA	5.170044	2.527657	7.573512	NA	1.394348	0.890418	NA	0.926979	NA	4.945543	0.371854	2.164271	1.65671	0.875169	NA	0.400868	3.304667	1.517273	NA	NA	NA	NA	NA	4.860709	0.975272	NA	NA	NA	3.296858	NA	0.678587	4.930055	0.463638	9.253926	0.396875	NA	0.844644	NA	3.644408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2M	59.5255	31.7306	40.8846	93.2069	27.921	116.234	9.54511	93.646	25.0512	18.4653	19.03962	29.5541	21.00114	100.219	85.5608	16.71457	214.589	84.2831	52.9364	90.5355	75.1832	69.9395	39.1704	49.9128	226.832	78.2862	81.6734	85.1809	129.914	137.271	60.828	26.998	66.9217	76.113	89.8517	38.8747	21.19262	94.1862	44.0197	64.4285	26.5176	103.722891	2.843245	107.7631	58.43122	45.3541	33.0931	123.571	23.9276	4.03579	127.539	68.7037	82.8435	34.29007	20.5815	23.5422	15.7099	41.6734	16.87774	7.83843	36.571628	141.8662	5.98133	4.28401	9.51634	5.838	79.8088	621.011	29.7176	42.1436	13.5712	54.703	26.3141	44.2161	47.1448	76.5334	136.477	21.8903	6.01872	98.1653	65.3796	31.4857	98.4395	99.7395	224.706	188.357	487.586	58.9155	204.943	439.547	32.8367	170.336	64.2171	256.346	113.02222	172.088	33.8525	263.716	45.8169	77.7062	397.143	55.5254	187.641	24.958	148.084	32.6522	285.053	265.65	9.92574	54.3957	176.961	126.292	170.872	72.04625	36.87744	167.026	72.6906	152.342	71.884	97.9374	301.089	222.705	23.7389	169.17	35.0792	142.104	233.773	153.046	192.524	58.2058
A2ML1	NA	2.374324	0.477936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.797393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.0446	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.28253	NA	NA	NA	NA	5.50876	NA	9.24329	0.600343	1.36601	3.61383	4.81279	NA	NA	3.00252	NA	18.17201	2.33247	13.511327	21.008617	0.639802	NA	NA	NA	8.6616	NA	0.632516	9.90186	NA	NA	1.46269	0.992695	3.08665	NA	NA	NA	NA	NA	NA	2.80256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.963961	NA	45.4707	NA	NA	NA	NA	7.32978	NA	54.4635	NA	NA	0.884408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2MP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.799438	NA	NA	NA	NA	NA	1.836493	NA	NA	NA	NA	NA	0.981331	NA	NA	NA	NA	NA	NA	3.25958	0.473332	NA	NA	NA	NA	NA	1.110739	NA	0.704176	NA	NA	NA	1.622167	NA	0.340432	NA
A4GALT	2.475232	2.588888	1.90887	1.47992	1.82878	0.548072	NA	1.52343	0.662936	NA	2.61645	0.763772	NA	2.28371	2.43193	3.452125	1.95229	1.19474	NA	2.430944	11.6788	1.71569	1.76962	0.614946	2.681872	0.640144	1.03112	0.741466	0.944136	0.768858	2.078882	1.64715	2.221371	2.020372	1.032066	0.697594	7.044387	1.01068	3.507944	1.70399	1.29865	NA	4.920574	7.806573	0.589554	5.14957	2.374249	0.97141	3.38333	4.992548	3.16714	16.529111	1.80401	23.15047	3.54023	13.237	15.8013	19.274651	7.817165	1.81455	2.151252	5.389642	8.023406	44.24538	11.494741	39.83006	0.642563	5.753708	1.19064	NA	26.09994	1.54218	35.74818	45.5667	10.514449	2.14919	2.67792	5.584334	0.624973	2.26311	0.545115	0.685623	10.756332	1.236935	1.533144	6.18307	10.606583	7.731796	3.201348	9.659611	5.47902	1.55979	3.82785	1.84066	1.10856	1.68089	4.092602	0.79117	6.887149	2.206192	1.28322	NA	4.008	10.708567	3.220124	2.27392	2.462932	1.28678	9.819005	1.49632	1.49619	1.27444	8.83427	2.809158	2.114701	2.382812	1.45136	1.49238	6.23682	5.318541	1.85241	3.263207	NA	1.46139	NA	2.7111	2.869876	1.16306	3.44072	6.36594
A4GNT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.384956
AA06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAA1	NA	NA	0.563646	23.554684	NA	NA	NA	8.26926	NA	NA	NA	61.748842	NA	NA	NA	NA	NA	3.611647	NA	NA	5.191115	NA	NA	NA	NA	NA	NA	0.68513	1.336604	0.797274	NA	NA	46.317089	1.40621	6.763489	NA	2.442863	26.159926	NA	NA	5.950374	NA	111.060538	NA	NA	59.10444	26.432276	21.311199	NA	27.392544	NA	1.225439	NA	47.851886	2.32845	NA	32.310706	25.474712	1.027695	NA	3.410709	NA	21.442186	12.361172	45.192633	2.466978	NA	NA	50.300475	1.400462	60.989497	92.523245	49.35767	5.18274	1.582358	NA	NA	NA	10.464438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	2.50285	5.33951	3.94623	5.20715	4.99749	3.38188	2.32976	4.62022	2.47675	3.38809	6.07444	2.01245	4.13203	10.743	5.17273	1.75512	8.43358	2.78144	3.07752	2.92469	4.84346	5.95887	7.06006	3.40179	5.79747	9.27877	10.642	3.79057	5.3976	3.40616	2.42075	4.60062	3.39787	5.57839	3.73907	4.49023	4.94569	5.5224	3.66432	6.72686	3.07184	2.52278	5.77426	3.30195	1.54436	7.21731	5.00024	3.78044	2.61784	3.58453	4.78617	3.16851	3.23467	2.80068	8.99859	8.45966	5.60195	6.12348	7.75455	5.57187	4.85347	1.88596	6.07076	3.56442	15.35661	4.00005	3.54388	3.1966	3.71531	2.86986	4.83429	3.15213	4.65546	8.20445	5.40379	3.1836	5.99868	3.52985	4.04013	2.72562	1.65329	2.22779	3.38339	5.89792	7.29083	8.4915	4.79172	7.97713	5.14907	2.96656	8.23335	5.18447	6.12643	9.00154	5.20642	4.76217	9.2016	6.7836	8.30523	7.82338	4.33246	4.68791	4.74514	4.9698	2.50209	6.78601	3.99848	4.43946	5.41313	4.14463	4.84323	7.75101	4.10376	5.00825	5.59577	4.7312	5.87966	3.02093	8.10242	5.05795	5.72904	7.02614	4.74538	10.1882	10.192	5.72954	4.61238	4.75882	4.58766	5.77244
AACS	2.447989	2.75109	2.757213	6.46604	4.354905	1.68304	4.14082	5.47595	2.52088	2.775422	6.25879	1.46814	10.04324	6.48781	2.006305	1.54991	6.24999	2.46133	3.39432	2.51762	7.08592	3.22948	3.79565	5.843553	2.71195	6.67859	6.69237	5.02897	3.45203	5.55169	3.898178	9.299561	5.514694	12.829295	8.537416	4.403	15.50151	3.56927	5.203026	1.753745	5.77584	2.1079	4.816676	2.36906	3.42947	5.140315	7.47106	2.37683	4.33254	3.76539	7.26582	4.34344	2.23445	6.30015	5.73273	4.78003	11.053752	3.16566	8.742112	19.811779	8.6883	1.37713	15.00689	20.81112	5.5544	6.68592	3.15825	2.053442	15.609504	2.877779	7.80452	4.511886	19.45031	9.1889	20.483451	6.751387	3.505758	6.333816	2.38269	2.59192	NA	6.281963	3.95853	2.90544	3.38129	3.85459	5.25509	15.04979	3.843871	4.320078	22.56464	5.07112	2.63019	9.748694	8.872112	7.22044	5.790343	2.57292	7.27105	7.01365	5.657036	6.575165	4.34292	6.57339	2.85889	7.83465	4.062912	5.172981	7.20834	2.40107	4.27486	5.31132	4.37818	2.10435	7.01079	3.57116	3.09832	1.46205	6.65731	13.44843	4.659579	6.36701	10.834514	6.70961	9.80428	3.68711	2.957987	1.50746	2.42778	10.50286
AACSP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.453569	NA	NA	NA	NA	NA	NA	NA	3.553343	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.233482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.560947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.20321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADAC	1.37559	2.390977	4.538896	NA	NA	5.82912	NA	1.46685	NA	NA	NA	NA	NA	0.636969	0.978485	NA	NA	0.670013	NA	3.02537	NA	0.489931	0.882708	2.799457	2.09965	0.942813	1.5855	NA	6.17936	23.2324	0.868102	NA	NA	NA	0.968623	NA	0.813144	4.21476	0.704772	NA	NA	0.711032	NA	NA	NA	NA	0.552833	1.30917	3.0213	3.346561	1.1352	NA	NA	5.68149	1.20751	NA	1.03713	0.842334	NA	NA	0.734626	NA	NA	1.60282	1.87931	NA	NA	1.79517	NA	NA	0.567642	NA	3.645973	NA	NA	1.24143	0.935389	NA	NA	2.892487	NA	NA	NA	4.89752	2.24017	1.00777	NA	NA	NA	0.965167	NA	NA	4.30592	1.00626	2.87975	NA	NA	2.248243	6.30005	1.13451	1.77627	NA	0.775258	NA	4.29449	1.17327	0.560914	1.62656	2.076128	NA	0.791994	NA	4.01628	NA	NA	NA	NA	8.23506	NA	NA	3.79902	NA	14.705	NA	NA	NA	22.0454	NA	2.944961	4.41382
AADACL2	7.428797	NA	2.844523	NA	1.213328	NA	NA	0.744146	NA	NA	NA	NA	NA	NA	3.232238	1.95892	NA	NA	NA	2.579227	NA	NA	NA	7.5343	NA	NA	NA	NA	1.501446	1.288072	NA	NA	NA	NA	NA	NA	0.290633	NA	4.210251	NA	NA	NA	4.500498	1.12819	NA	NA	NA	NA	NA	NA	4.736955	2.953123	NA	4.14402	NA	NA	NA	NA	NA	NA	NA	NA	12.88218	0.952755	NA	6.92327	5.92824	NA	NA	0.379292	5.11407	NA	6.536589	NA	1.436984	NA	NA	NA	NA	NA	NA	NA	4.661172	0.380131	NA	4.904887	9.196418	NA	NA	NA	NA	NA	5.50378	2.879217	NA	NA	1.220748	NA	2.249199	NA	NA	NA	2.47009	1.19627	NA	3.209178	NA	NA	5.8315	NA	NA	NA	NA	NA	NA	NA	NA	5.49659	NA	NA	1.25366	NA	NA	NA	NA	NA	0.707606	NA	NA	3.332216
AADACL3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADACL4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADAT	3.013143	1.496432	NA	NA	0.691553	2.62826	NA	6.769798	0.619719	4.359393	1.687345	1.70273	2.296681	1.658786	2.429203	0.761167	1.05065	7.374309	1.470444	2.796655	2.36946	0.998813	4.23106	5.996377	1.11586	2.01315	NA	7.774061	6.849574	1.85037	NA	4.98169	2.988161	4.556791	3.140397	1.25528	8.55474	3.345596	1.713376	NA	26.8677	2.88342	5.96461	6.074968	3.49008	7.02877	NA	4.72784	0.792821	0.84227	6.742006	0.971116	0.898981	0.62622	NA	3.625903	2.28266	2.33329	1.80568	3.506084	0.629171	NA	4.669648	2.99767	4.734756	NA	3.5402	0.952329	18.993452	1.567434	NA	9.109023	3.02275	0.640663	5.671033	4.369992	3.90809	NA	1.28823	0.636605	NA	6.257239	6.622752	6.227811	2.596326	2.89526	0.973146	NA	2.305209	1.08128	NA	1.44023	NA	2.88155	1.841248	6.091877	3.813988	6.537558	2.5068	6.35185	2.814228	2.545049	1.726913	NA	1.01663	NA	2.759247	4.468389	2.11988	1.46816	5.42252	2.08937	5.49361	NA	2.004147	2.62787	5.195058	1.84075	NA	2.506478	3.68358	3.033547	4.783024	NA	0.570408	NA	NA	NA	1.864862	5.04714
AAGAB	10.290372	8.55964	4.44126	9.36847	4.06271	4.69195	4.22151	9.20141	3.61207	6.80435	4.248798	6.951836	7.957628	18.7305	2.67755	1.33958	27.64121	20.392217	4.67881	11.79383	8.49998	9.54494	10.6797	6.99427	5.71419	17.7614	18.1145	5.32884	10.9248	6.63213	5.20775	13.21515	15.687193	46.600363	22.333592	12.4033	9.12071	7.71999	25.412101	9.361877	8.495617	10.21777	9.18171	27.89865	3.86623	11.47161	4.87404	11.535756	14.24474	17.34142	8.47429	4.722412	7.648759	4.404846	5.99122	8.98083	20.377198	27.532241	4.65944	5.558501	11.918418	9.259473	10.7626	9.90863	6.69294	18.53524	10.94942	6.23437	7.341596	3.455405	9.899206	6.900402	7.21957	30.0025	17.88684	11.482656	20.952697	16.393556	2.54551	6.093252	2.34668	15.89089	6.751461	7.35703	14.88613	10.43658	11.943959	6.16688	8.667347	4.28353	6.75992	6.35524	9.57901	13.828131	17.727092	11.404988	16.840093	16.62131	23.9264	24.114824	19.35882	15.54593	6.92948	14.69446	6.0983	29.5651	6.036514	22.616237	32.366366	22.524861	12.36127	6.10383	11.80036	5.12588	10.84227	15.48193	7.00282	7.0136	9.31564	10.39528	8.68258	9.19264	12.41824	6.67453	13.10146	18.863984	12.568738	10.98919	10.269001	11.4071
AAK1	37.42241	27.581091	4.954714	21.177466	29.29451	45.770751	33.679513	9.077267	28.037501	16.129838	23.051753	68.420379	61.942914	15.565329	21.81213	4.246507	7.70683	27.677023	18.375804	44.042649	4.36612	33.39484	56.18506	38.974261	16.873992	14.4668	9.11065	36.19606	32.603709	30.99594	29.803995	21.851066	80.06023	27.840803	64.200264	13.122151	34.65827	13.186176	38.74456	27.188169	20.160145	31.755332	83.28065	46.761086	29.548795	37.79958	16.125429	21.738306	36.81007	4.70256	35.132871	48.64317	66.614051	53.565334	34.395773	8.38019	37.52419	37.63144	26.845147	21.570283	58.69635	12.809777	48.071339	29.304339	12.09689	44.210944	28.046859	37.228	42.498693	32.193458	30.671735	26.342148	28.974527	6.58336	51.43839	61.246326	59.012638	67.319736	7.43244	42.76076	6.0713	37.498288	34.657943	9.628393	8.198949	48.813389	92.238454	31.931356	48.628577	57.767207	25.797761	12.912573	12.851452	55.735952	83.560864	96.213	23.315227	38.861618	17.8378	23.059193	80.257485	18.669458	59.414673	143.594572	6.711018	27.77511	37.311929	46.906	38.771725	58.151109	25.51468	37.344468	35.37728	72.633344	94.775392	41.12994	33.530554	30.588042	7.26336	17.76214	56.255418	41.272437	21.362064	22.3638	9.652926	21.800506	43.36262	21.224142	43.426958	22.324451
AAMP	6.29851	9.58367	18.3782	14.0577	24.4434	8.09563	6.57464	15.2384	7.15159	6.48505	7.11391	15.7426	3.65415	29.5964	6.21904	1.77854	27.4033	14.4844	13.2092	3.0937	20.3892	13.4443	16.622	25.17342	17.0067	40.4745	42.8067	16.6434	14.4616	11.431	4.41844	18.0279	6.90304	13.7804	11.323	20.8965	13.8851	27.6498	7.5841	4.20844	24.04	5.26412	12.9643	8.95531	6.57926	12.0982	10.979	15.2578	12.3649	23.2275	8.96429	6.1447	4.52767	8.23963	10.3083	10.6098	9.9619	14.4036	17.6507	6.67561	3.44894	3.06676	8.87656	3.6345	35.3416	12.4204	7.64377	10.0589	7.73664	3.86521	13.293	6.89452	9.95647	15.0385	5.45991	6.537	9.69808	5.96157	2.23097	4.37666	5.7231	4.96975	9.67575	14.921	17.1949	12.9528	9.75647	19.7988	15.3247	7.40199	14.6513	17.1076	19.1052	14.6483	8.31024	12.2671	12.4465	13.0619	13.3826	19.5659	6.99429	11.5682	7.53358	10.1604	11.4161	21.0128	7.04357	10.9835	10.3572	24.0406	12.5169	14.1858	10.9419	12.2544	7.96322	6.605	15.2062	4.84279	18.0916	12.3416	7.9884	13.8051	17.3862	12.8298	17.8805	7.11663	11.016	13.97	10.9592	23.5269
AANAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.612266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.629044	NA	NA	1.841537	NA	NA	NA	NA	NA	NA	0.910013	NA	NA	NA	NA	NA	NA	NA	0.487329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AARS	5.73343	8.63052	6.47787	15.079	11.12274	5.59451	15.58383	23.9972	13.8409	5.78465	13.07938	19.8255	31.34379	32.6146	4.98512	8.27475	16.4853	13.3094	12.0684	7.01042	29.889	10.352	17.3109	5.69807	8.30662	25.5748	24.4822	12.5217	30.933	7.27625	13.04423	13.8611	10.4734	36.08663	22.90579	36.5467	36.9528	10.0079	10.4527	8.21709	51.252	6.86824	7.57993	7.29604	3.80727	13.46228	10.1993	10.4485	25.9817	9.33266	18.10725	12.18804	5.6657	6.738	8.7624	13.5682	16.1576	14.2044	13.0045	11.7355	11.71903	5.90841	6.16963	3.60336	8.01196	7.42412	6.57333	8.15801	16.5397	8.165	9.91242	9.72739	11.0949	19.1879	7.17337	13.44407	7.65854	10.93361	4.15314	4.00766	4.16018	5.50289	10.33803	12.5078	14.6271	10.9565	8.78947	20.59571	13.7005	6.34585	20.2121	6.1324	19.06361	18.14789	24.2405	13.759	26.6766	12.287	33.6127	18.1241	12.07899	21.5115	16.20091	7.96914	11.92109	11.31256	9.80521	8.44501	17.39397	8.57602	6.76612	12.5168	8.97438	7.69268	7.93725	4.88566	19.6032	4.4084	12.5224	12.3034	14.56119	11.0633	10.5006	14.2769	12.832	7.02312	10.55034	6.33268	12.8733	15.2714
