	R01-023	R01-024	R01-006	R01-153	R01-031	R01-032	R01-033	R01-034	R01-035	R01-037	R01-005	R01-147	R01-051	R01-043	R01-028	R01-052	R01-056	R01-057	R01-059	R01-060	R01-061	R01-062	R01-063	R01-066	R01-067	R01-068	R01-072	R01-080	R01-081	R01-154	R01-083	R01-084	R01-048	R01-077	R01-078	R01-003	R01-007	R01-012	R01-013	R01-015	R01-016	R01-017	R01-018	R01-021	R01-022	R01-026	R01-004	R01-014	R01-027	R01-029	R01-038	R01-039	R01-040	R01-041	R01-042	R01-046	R01-156	R01-049	R01-160	R01-054	R01-055	R01-064	R01-065	R01-069	R01-071	R01-073	R01-076	R01-148	R01-149	R01-079	R01-150	R01-089	R01-157	R01-158	R01-151	R01-152	R01-091	R01-159	R01-093	R01-094	R01-096	R01-097	R01-098	R01-099	R01-100	R01-101	R01-102	R01-103	R01-104	R01-105	R01-106	R01-107	R01-108	R01-109	R01-110	R01-111	R01-112	R01-113	R01-114	R01-115	R01-116	R01-117	R01-118	R01-119	R01-120	R01-121	R01-122	R01-123	R01-124	R01-125	R01-126	R01-127	R01-128	R01-129	R01-130	R01-131	R01-132	R01-133	R01-134	R01-135	R01-136	R01-137	R01-138	R01-139	R01-140	R01-141	R01-142	R01-144	R01-145	R01-146
1/2-SBSRNA4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZDHHC4	6.13499	3.82943	6.003103	9.09563	19.92127	3.99879	2.61522	7.89107	4.5555	20.6371	2.01087	7.15178	1.83726	14.2165	4.44801	1.23746	16.972	9.0891	10.9415	3.9613	16.9539	15.69755	11.0644	6.78608	16.557	10.5362	11.3131	21.5305	10.7507	7.28069	2.43129	10.36913	17.14668	7.98945	11.02066	17.1925	9.66473	60.3239	3.86511	5.894373	15.0181	11.9069	4.71967	2.62581	2.07322	13.07311	3.32599	15.39085	22.18967	8.13634	4.9107	3.38582	3.64066	10.01067	9.9893	2.50483	13.97667	4.89541	4.54041	8.030165	1.24512	4.00823	5.71098	4.65236	12.3174	3.79754	4.03409	5.73166	9.88612	2.32107	2.94068	15.65564	18.69326	13.8094	7.389764	3.6652	8.2776	3.96857	2.21947	4.153	1.13264	7.6028	12.68604	23.55117	11.6036	8.70789	5.7383	10.3149	4.71472	4.12127	6.69386	35.4981	7.20134	7.03816	3.80837	10.53	24.4212	9.26747	20.463	9.44726	6.07942	13.9274	5.4472	7.33754	9.72483	7.36492	5.03908	5.92439	11.7459	9.014477	8.52594	4.87558	5.49149	5.57714	6.21103	4.29304	18.3987	3.69457	17.18218	9.76659	5.0267	7.74592	6.67198	7.98336	15.6103	6.547864	9.62711	7.52968	5.42749	23.04818
ZDHHC5	8.285972	6.94172	9.72384	13.278	6.104881	7.50303	5.39062	10.2057	15.49188	7.40365	4.122795	12.97628	4.25439	22.5477	6.24752	2.35673	15.1333	10.6121	19.5562	3.24045	10.8439	11.015	13.672	17.32885	9.89999	23.408	22.9661	10.1896	7.530616	8.21783	2.86396	6.51958	8.42336	16.72818	6.63243	16.8791	13.3132	9.68257	8.952637	7.47434	10.1035	5.08532	9.50553	11.83364	6.98307	9.2293	9.74324	10.9358	5.18426	10.6354	6.14917	8.50802	7.319649	10.417712	8.61286	16.1227	18.6109	11.1671	7.00437	8.10233	6.410083	6.01337	12.936	24.523663	20.7096	17.02419	11.905795	10.2292	11.226061	7.299684	10.1226	5.58555	11.2155	21.0383	18.04794	10.057581	7.15334	3.20016	4.742303	8.18648	5.212533	14.15965	7.27772	10.5041	9.58743	8.21528	11.005868	13.3552	8.02237	9.87501	11.1797	9.61471	7.8056	6.96286	11.07022	13.5467	9.58005	10.5323	21.1194	10.5506	5.64281	10.3088	7.52383	7.3149	4.60329	14.9917	4.86254	5.40876	11.3674	9.57723	8.97258	19.59781	7.18204	4.83366	9.75839	4.19659	9.36724	8.37655	8.58772	7.83221	6.96937	11.307	8.88989	11.3776	10.2651	6.60137	7.95107	9.12544	7.3823	15.1743
ZDHHC6	8.668629	7.7022	9.09721	7.80439	7.077204	5.82329	6.15022	25.668792	5.30943	6.88887	5.94242	15.714708	4.19616	19.0213	4.06164	1.23851	9.01201	12.7954	7.94786	13.999122	10.8603	18.59726	7.09461	5.09698	7.22676	25.2092	12.2169	8.77069	6.57358	8.57086	5.322442	9.2494	9.74873	8.46014	9.44737	8.03846	17.86459	7.95869	11.518923	8.401255	9.7596	11.95362	6.5192	15.72272	3.540922	9.393787	5.7103	5.30488	6.06671	7.10279	8.5744	7.980323	6.05093	6.79357	5.6996	7.67959	12.034	5.33893	5.40545	9.67719	4.09309	7.043023	4.51319	2.52487	3.83747	7.28692	7.05432	6.48738	6.33684	3.25004	7.17196	6.91845	8.93623	13.83404	8.29256	5.202436	8.3364	6.23758	2.4528	7.20706	8.54363	12.7382	3.93649	10.56643	13.03556	8.70709	8.14744	9.23306	12.55491	8.351059	17.09797	7.78335	10.80782	NA	7.586722	11.52679	7.7808	8.78823	7.10414	11.0565	13.54508	14.59556	9.13456	14.58324	4.02879	11.80236	8.76583	9.00519	10.91109	14.26491	6.76922	NA	10.2615	10.15963	7.51978	14.45092	NA	15.35923	9.36365	7.41001	8.669172	9.00164	18.28105	9.38879	10.2808	9.043649	8.86196	12.75341	10.03517	6.77541
ZDHHC7	12.701144	19.983047	10.08827	25.65001	11.04196	5.58138	35.51085	10.07397	27.07118	9.44376	7.953005	49.17664	9.975493	22.4745	11.394942	2.44606	12.6548	21.02045	17.9481	22.586354	13.7909	14.81159	25.34867	26.178506	13.2189	13.9025	13.6047	22.43921	8.80097	24.825	4.79753	13.88731	28.951945	33.489948	38.639654	23.3792	5.65913	6.77276	21.44426	17.09039	12.21089	53.67167	9.374042	17.986493	5.444511	15.026043	20.430423	9.7955	26.296731	13.65825	25.856497	33.32084	8.964804	37.807278	8.89029	8.70327	23.91278	34.29922	11.82697	6.120894	12.540288	3.325	3.70098	8.54369	12.3406	13.10367	25.157573	14.44321	24.744628	8610000	13.322239	31.851698	42.57389	7.61448	10.413656	31.355689	26.771207	13.715037	5.679667	23.232813	5.855519	31.422011	24.444023	50.161	15.9934	15.86003	24.416111	21.912681	43.71475	7.834904	5.886281	15.494799	11.99324	45.8046	21.83944	23.92432	11.26992	15.35793	11.1388	22.59814	24.72002	22.932	11.66963	34.406048	10.90447	12.11969	10.610857	13.90969	10.99027	19.77139	8.10143	54.42661	37.57962	21.90154	38.33145	20.58962	106.80516	6.71809	15.3013	5.17599	63.14137	28.72084	20.42191	50.51569	74.76196	12.305087	47.04592	34.763196	21.52111	63.80941
ZDHHC8	3.99399	8.331446	2.25763	2.504944	3.09675	2.38432	5.02387	2.40377	2.34741	3.63024	4.40699	1.43272	NA	2.17828	3.33818	0.589886	2.95802	2.711179	2.73928	1.31808	6.91842	10.4224	1.74452	4.857133	3.76115	3.002269	11.853955	2.64694	2.59096	3.487556	2.0443	4.56006	3.897027	2.060486	3.77713	1.95652	3.26313	3.076342	2.07839	2.44599	2.94583	3.50972	8.75755	4.06419	6.14224	2.69452	2.016368	2.72426	3.46949	5.35589	3.705254	2.40515	3.37315	1.98993	3.26521	6.03835	4.087194	8.26541	3.15437	2.803	3.86262	5.8193	4.69132	2.99612	4.29244	1.78058	5.89518	3.135813	9.852969	2.54033	3.59549	5.32208	8.957	5.7949	5.88311	3.447874	3.83508	1.77216	1.34063	1.55542	1.44436	3.567545	5.199598	4.947736	4.36749	6.67642	9.63526	4.311448	3.94145	2.33001	0.985638	3.36011	3.58699	6.372986	6.530169	11.836374	1.63435	2.981096	5.44201	3.75676	2.990948	2.57103	2.09556	3.15483	1.28779	5.88066	3.82308	2.23251	3.451995	9.546919	1.70343	3.80006	4.37847	5.568212	1.96876	5.795842	2.392625	2.27036	3.043524	2.66894	3.519198	3.32711	2.620916	3.361588	3.86872	5.23764	4.62985	3.64141	3.194316	2.78063
ZDHHC8P1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.085589	2.024025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.870835	1.0431	NA	NA	NA	NA	NA	0.900506	NA	NA	NA	NA	NA	4.149198	NA	NA	2.346298	NA	NA	2.611392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.722864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.78114	NA	6.96077	NA	NA	NA	NA	NA	0.570238	NA	NA	NA	NA	NA	NA	3.850089	NA	NA	NA	NA	NA	NA	NA
ZDHHC9	28.7739	11.742949	10.2257	8.31474	12.67233	8.583787	6.55442	9.02121	24.35577	9.304222	37.24064	43.64313	4.306554	71.7461	4.752491	6.025098	34.3143	11.416972	55.89158	24.19601	14.147265	7.13764	20.61215	8.0377	16.2559	16.3025	16.773879	14.655395	18.07253	10.88442	9.897725	10.292988	13.447228	15.89101	9.177918	79.147647	5.254175	18.315414	18.07848	4.37779	50.0152	116.407485	15.157277	115.1622	10.428238	17.03152	4.010514	21.381341	6.491279	9.05913	8.31334	2.5995	1.97834	4.441972	4.968183	7.155944	9.29688	3.149395	13.150762	12.8668	3.339252	24.787321	4.974593	9.189049	8.36543	6.774979	24.57735	12.41899	3.36473	32.21221	11.55802	27.14948	3.39937	8.278851	53.90367	31.58906	3.669392	3.390137	3.46786	4.195523	3.60745	7.57518	30.46266	30.46415	16.8624	3.24143	4.656091	13.07284	18.55692	7.74585	17.2286	11.0361	13.0206	14.31345	4.15793	16.5025	5.611122	9.533842	8.297593	14.3536	3.08236	13.6987	3.58995	3.09545	8.51991	4.00183	5.740938	7.41956	23.81621	6.90631	18.5104	51.6011	13.581999	15.13115	19.41345	24.31126	9.000957	3.33765	11.07149	5.763881	5.12367	23.5695	11.7538	14.4803	31.7796	7.140356	17.7406	61.05643	12.42679	39.505
ZEB1	61.670842	101.770531	18.595495	47.454401	50.630373	20.289458	5.85565	50.927441	48.371821	26.798111	18.88611	46.324575	49.400653	2.32661	86.31438	3.905951	8.678984	36.939295	27.478377	75.991858	6.707936	134.588016	34.430194	38.850559	29.599192	34.602955	21.453215	22.556962	40.6833	39.545847	69.095098	40.701557	52.680631	52.249199	64.74078	38.614332	62.952911	35.423049	18.963747	104.082912	39.500735	44.928527	1.89972	32.841089	23.416213	210.8359	42.702302	62.230344	77.668044	66.595002	19.509111	34.857287	91.353774	11.699117	38.722891	21.875808	66.438262	35.709715	23.575795	8.152757	165.49308	32.896529	15.778757	1.918893	7.413984	28.61081	139.652956	15.1618	44.415407	27.566816	4.784285	64.695202	68.596198	4.840838	52.240522	73.4867	58.33241	74.645494	1.70315	55.504898	15.258513	61.913853	54.222031	47.210232	31.257761	74.825682	167.623684	40.906313	44.120744	115.853301	24.368136	22.828913	29.416913	97.92046	114.33588	42.998918	46.566692	81.40336	54.910625	41.830277	117.776326	22.290697	340.05688	127.64405	18.191464	71.613647	42.749544	99.546136	79.106684	55.49318	49.932976	41.950335	77.023187	97.93884	113.575443	150.479375	28.622326	94.672157	54.792276	28.09794	81.54679	64.378397	64.525213	69.348177	38.44123	112.252579	134.2067	47.232045	200.39718	60.454294
ZEB1-AS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.907084	0.648608	0.450667	1.438322	1.10457	1.78458	0.548822	3.140272	NA	1.14779	NA	1.1404	1.882426	NA	2.13667	0.583482	1.38605	1.0446	1.00739	NA	1.20634	1.19523	NA	0.813474	0.844711	NA	1.36736	1.09345	NA	0.687987	0.841052	1.900094	0.566252	2.22333	0.80942	0.913518	NA	0.895443	0.998302	1.792867	0.742224	0.791993	1.52909	1.429653	1.42284	1.18093	2.366743	1.35788
ZEB2	94.215025	141.466981	48.447735	30.87296	51.680653	234.408454	7.524817	131.256472	73.655839	37.908158	3.700035	53.37024	45.309298	12.47848	115.31506	6.005125	11.39046	154.503823	31.532046	224.88711	27.943442	361.69779	82.97706	91.913835	27.9349	34.54989	30.77386	81.23904	19.97825	350.191055	76.07757	25.96069	194.00057	92.254602	133.00477	21.933011	118.661343	31.40006	107.072573	592.98388	66.581327	40.434856	15.0641	24.270135	43.267917	74.868476	151.072292	64.64427	41.28095	3.861458	24.53547	71.844892	391.94255	39.890687	22.461657	5.154214	19.791656	69.461042	17.93249	25.700215	144.07695	101.998309	5.350912	4.662039	3.244008	11.181687	104.81917	61.40394	55.935979	42.907104	3.482517	50.410245	35.788303	7.10091	54.188742	230.09026	184.080409	29.695278	3.222519	64.35085	15.979356	61.232105	83.381305	19.220618	11.696558	105.48023	258.123914	98.77614	63.50363	296.31981	63.979336	18.351893	36.45495	87.64027	29.19061	34.526902	62.80102	28.14904	29.780026	70.621868	24.54509	11.695643	204.21389	111.121938	25.075719	113.20862	237.3942	151.03186	26.796987	35.533103	76.03182	35.557401	88.03216	273.90498	97.803194	51.925424	11.232976	197.06416	43.640038	113.87457	24.94278	33.20727	30.327297	155.46068	8.59194	41.721087	118.19299	78.79571	151.64866	22.271661
